Book,Author,Genres
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Young Adult, Science Fiction Fantasy, High Fantasy"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy"
"The Hobbit, Part One",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Young Adult"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy"
Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,"Fantasy, Fiction, Classics, High Fantasy, Epic Fantasy, Short Stories, Science Fiction Fantasy"
